Date,Open,High,Low,Close,Volume
2024-01-01,0.12929600477218628,0.13084200024604797,0.12829700112342834,0.13001799583435059,521438
2024-01-02,0.1300169974565506,0.13823199272155762,0.1299850046634674,0.13593600690364838,760713
2024-01-03,0.13596799969673157,0.13710899651050568,0.1232990026473999,0.12579500675201416,569999
2024-01-04,0.12578999996185303,0.1271349936723709,0.12191399931907654,0.12709200382232666,511182
2024-01-05,0.1270589977502823,0.12721200287342072,0.11670000106096268,0.1177159994840622,337992
2024-01-06,0.11773599684238434,0.11806400120258331,0.11214400082826614,0.11223399639129639,289844
2024-01-07,0.11222200095653534,0.14271800220012665,0.10978300124406815,0.1384589970111847,1854384
2024-01-08,0.13862599432468414,0.15811699628829956,0.1270979940891266,0.15084399282932281,2597627
2024-01-09,0.15082000195980072,0.1604669988155365,0.13194499909877777,0.15905700623989105,1206498
2024-01-10,0.15903699398040771,0.21219100058078766,0.1585099995136261,0.1873530000448227,3684079
2024-01-11,0.18675699830055237,0.19077099859714508,0.16940699517726898,0.17738300561904907,1752400
2024-01-12,0.177387997508049,0.177387997508049,0.15339499711990356,0.15739500522613525,936537
2024-01-13,0.15738900005817413,0.2010989934206009,0.15397599339485168,0.17663300037384033,1915756
2024-01-14,0.17663300037384033,0.18149200081825256,0.16815400123596191,0.18106499314308167,967755
2024-01-15,0.1810549944639206,0.18351200222969055,0.16722999513149261,0.16799600422382355,888658
2024-01-16,0.1681230068206787,0.17985999584197998,0.16225500404834747,0.1765030026435852,864227
2024-01-17,0.1765879988670349,0.1765879988670349,0.15644699335098267,0.15832699835300446,691406
2024-01-18,0.15841299295425415,0.16535599529743195,0.15009400248527527,0.15900200605392456,742986
2024-01-19,0.1589670032262802,0.21615099906921387,0.15248000621795654,0.1973229944705963,2382472
2024-01-20,0.1973399966955185,0.2254199981689453,0.19162100553512573,0.19635799527168274,1671862
2024-01-21,0.19628700613975525,0.20585399866104126,0.18986299633979797,0.1910250037908554,664169
2024-01-22,0.1909250020980835,0.19104400277137756,0.16961200535297394,0.1696310043334961,796055
2024-01-23,0.1696310043334961,0.21940800547599792,0.16898100078105927,0.21073099970817566,2047374
2024-01-24,0.21073099970817566,0.29597899317741394,0.20582899451255798,0.28141701221466064,5166002
2024-01-25,0.2832390069961548,0.3982439935207367,0.2654320001602173,0.358146995306015,8355753
2024-01-26,0.3584449887275696,0.41569000482559204,0.29917898774147034,0.30581700801849365,6027455
2024-01-27,0.30594098567962646,0.333281010389328,0.2638759911060333,0.3046570122241974,3735815
2024-01-28,0.30461400747299194,0.3058600127696991,0.2835739850997925,0.28614699840545654,1238982
2024-01-29,0.28586599230766296,0.3373520076274872,0.2823750078678131,0.3273870050907135,2611946
2024-01-30,0.3273870050907135,0.3300510048866272,0.2970220148563385,0.30170300602912903,1195556
2024-01-31,0.30135399103164673,0.30263298749923706,0.2691139876842499,0.27377599477767944,1066925
2024-02-01,0.27371498942375183,0.3041580021381378,0.26129698753356934,0.3034600019454956,2168484
2024-02-02,0.30345800518989563,0.3152559995651245,0.27902600169181824,0.27902600169181824,1046407
2024-02-03,0.27902698516845703,0.2834779918193817,0.27018100023269653,0.2739250063896179,802933
2024-02-04,0.273373007774353,0.27466899156570435,0.2507370114326477,0.25451600551605225,1033228
2024-02-05,0.25551700592041016,0.25554800033569336,0.2292580008506775,0.23148800432682037,1115431
2024-02-06,0.2315790057182312,0.2999800145626068,0.22791500389575958,0.28977298736572266,2807523
2024-02-07,0.2897700071334839,0.3597489893436432,0.28897300362586975,0.33621999621391296,8430795
2024-02-08,0.3364599943161011,0.3483549952507019,0.302606999874115,0.3031010031700134,1649585
2024-02-09,0.30309000611305237,0.31905001401901245,0.2887740135192871,0.30469200015068054,1689497
2024-02-10,0.3046939969062805,0.3139519989490509,0.2980400025844574,0.30191001296043396,969327
