Date,Open,High,Low,Close,Volume
2024-01-02,4.199999809265137,4.28000020980835,4.190000057220459,4.25,7100
2024-01-03,4.110000133514404,4.21999979019165,4.110000133514404,4.21999979019165,2400
2024-01-04,4.260000228881836,4.28000020980835,4.230000019073486,4.260000228881836,2600
2024-01-05,4.260000228881836,4.28000020980835,4.21999979019165,4.239999771118164,6600
2024-01-08,4.269999980926514,4.28000020980835,4.21999979019165,4.260000228881836,8000
2024-01-09,4.28000020980835,4.289999961853027,4.179999828338623,4.269999980926514,2800
2024-01-10,4.320000171661377,4.880000114440918,4.28000020980835,4.599999904632568,60500
2024-01-11,4.619999885559082,4.800000190734863,4.610000133514404,4.699999809265137,28400
2024-01-12,4.78000020980835,4.920000076293945,4.650000095367432,4.699999809265137,20600
2024-01-16,4.789999961853027,4.900000095367432,4.619999885559082,4.710000038146973,26300
2024-01-17,4.809999942779541,4.809999942779541,4.639999866485596,4.639999866485596,13900
2024-01-18,4.599999904632568,4.639999866485596,4.599999904632568,4.639999866485596,1600
2024-01-19,4.559999942779541,4.630000114440918,4.559999942779541,4.579999923706055,5000
2024-01-22,4.570000171661377,4.730000019073486,4.570000171661377,4.570000171661377,4200
2024-01-23,4.679999828338623,4.75,4.619999885559082,4.619999885559082,8500
2024-01-24,4.610000133514404,4.650000095367432,4.610000133514404,4.630000114440918,2300
2024-01-25,4.699999809265137,4.699999809265137,4.53000020980835,4.599999904632568,6400
2024-01-26,4.480000019073486,4.639999866485596,4.409999847412109,4.639999866485596,1800
2024-01-29,4.659999847412109,4.690000057220459,4.369999885559082,4.639999866485596,10600
2024-01-30,4.630000114440918,4.630000114440918,4.420000076293945,4.599999904632568,7100
2024-01-31,4.599999904632568,4.619999885559082,4.429999828338623,4.429999828338623,4600
2024-02-01,4.429999828338623,4.519999980926514,4.400000095367432,4.519999980926514,2200
2024-02-02,4.440000057220459,4.610000133514404,4.440000057220459,4.610000133514404,1700
2024-02-05,4.510000228881836,4.599999904632568,4.510000228881836,4.599999904632568,8700
2024-02-06,4.599999904632568,4.599999904632568,4.170000076293945,4.170000076293945,8500
2024-02-07,4.059999942779541,4.210000038146973,3.950000047683716,4.090000152587891,24900
2024-02-08,4.21999979019165,4.21999979019165,4.019999980926514,4.03000020980835,3600
2024-02-09,4.010000228881836,4.099999904632568,3.9100000858306885,4.099999904632568,6500
2024-02-12,3.890000104904175,4.230000019073486,3.890000104904175,4.119999885559082,4500
2024-02-13,4.119999885559082,4.119999885559082,4.119999885559082,4.119999885559082,1300
2024-02-14,4.130000114440918,4.130000114440918,4.050000190734863,4.119999885559082,5600
2024-02-15,4.110000133514404,4.119999885559082,4.050000190734863,4.090000152587891,1800
2024-02-16,3.9000000953674316,4.159999847412109,3.9000000953674316,4.110000133514404,5200
2024-02-20,4.170000076293945,4.21999979019165,3.9000000953674316,4.070000171661377,18000
2024-02-21,4.150000095367432,4.25,4.070000171661377,4.25,4900
2024-02-22,4.239999771118164,4.289999961853027,4.199999809265137,4.199999809265137,3400
2024-02-23,4.119999885559082,4.369999885559082,4.079999923706055,4.21999979019165,16300
2024-02-26,4.199999809265137,4.389999866485596,4.199999809265137,4.329999923706055,4100
2024-02-27,4.309999942779541,4.329999923706055,4.309999942779541,4.329999923706055,2000
2024-02-28,4.300000190734863,4.329999923706055,4.260000228881836,4.329999923706055,7600
2024-02-29,4.389999866485596,4.5,4.349999904632568,4.400000095367432,2900
2024-03-01,4.28000020980835,4.489999771118164,4.25,4.400000095367432,6400
2024-03-04,4.320000171661377,4.400000095367432,4.320000171661377,4.400000095367432,1400
2024-03-05,4.46999979019165,4.5,4.360000133514404,4.480000019073486,2000
2024-03-06,4.5,4.539999961853027,4.300000190734863,4.5,5900
2024-03-07,4.360000133514404,4.559999942779541,4.349999904632568,4.5,15100
2024-03-08,4.510000228881836,4.579999923706055,4.489999771118164,4.579999923706055,5300
2024-03-11,4.5,4.599999904632568,4.489999771118164,4.489999771118164,5900
